scenario,instance,solver,total-time,ground-time,solve-time,iteration
acrobatics,p05,fondsat-glucose,4.0295559999999995,2.772788,1.256768,11
acrobatics,p05,fondsat-glucose,5.51366,3.498463,2.015197,12
acrobatics,p05,fondsat-glucose,4.780212000000001,2.93378,1.846432,13
acrobatics,p05,fondsat-glucose,6.61229,3.1439,3.46839,14
acrobatics,p05,fondsat-glucose,9.930468999999999,5.005526,4.924943,15
acrobatics,p05,fondsat-glucose,11.404922,5.164785,6.240137,16
acrobatics,p05,fondsat-glucose,9.001889,4.22424,4.777649,17
acrobatics,p05,fondsat-glucose,17.923893,4.069945,13.853948,18
acrobatics,p05,fondsat-glucose,16.221749,4.483495,11.738254,19
acrobatics,p05,fondsat-glucose,24.890576,6.85691,18.033666,20
acrobatics,p05,fondsat-glucose,20.257649,7.072628,13.185021,21
acrobatics,p05,fondsat-glucose,32.540611,9.993761,22.54685,22
acrobatics,p05,fondsat-glucose,63.206488,9.935881,53.270607,23
acrobatics,p05,fondsat-glucose,75.18858200000001,11.148948,64.039634,24
acrobatics,p05,fondsat-glucose,57.725846999999995,11.829322,45.896525,25
acrobatics,p05,fondsat-glucose,71.147896,15.612112,55.535784,26
acrobatics,p05,fondsat-glucose,56.880027999999996,12.464026,44.416002,27
acrobatics,p05,fondsat-glucose,57.822013,12.517126,45.304887,28
acrobatics,p05,fondsat-glucose,135.062588,16.746341,118.316247,29
acrobatics,p05,fondsat-glucose,156.580603,19.681194,136.899409,30
acrobatics,p05,fondsat-glucose,108.395143,19.74095,88.654193,31
acrobatics,p05,fondsat-glucose,170.758319,23.025964,147.732355,32
acrobatics,p05,fondsat-glucose,179.92496599999998,22.269342,157.655624,33
acrobatics,p05,fondsat-glucose,302.281762,25.773256,276.508506,34
acrobatics,p05,fondsat-glucose,257.336399,25.841485,231.494914,35
acrobatics,p05,fondsat-glucose,395.312227,21.321189,373.991038,36
acrobatics,p05,fondsat-glucose,492.49562000000003,22.934247,469.561373,37
acrobatics,p05,fondsat-glucose,582.7730250000001,28.331122,554.441903,38
acrobatics,p05,fondsat-glucose,719.826548,22.416854,697.409694,39
acrobatics,p05,fondsat-glucose,703.235677,20.465044,682.770633,40
acrobatics,p05,fondsat-glucose,1121.555653,23.398373,1098.15728,41
acrobatics,p05,fondsat-glucose,1683.9593320000001,24.871182,1659.08815,42
acrobatics,p05,fondsat-glucose,2003.101868,35.012542,1968.089326,43
acrobatics,p05,fondsat-glucose,1806.447519,46.33743,1760.110089,44
acrobatics,p05,fondsat-glucose,2554.0195550000003,42.403482,2511.616073,45
acrobatics,p05,fondsat-glucose,3003.0052939999996,28.592805,2974.412489,46
acrobatics,p05,fondsat-glucose,4014.340116,37.063912,3977.276204,47
